surface,source,derivation,on_disk,measured,note
runs.alpaca_shadow_blend.db,runner,daily_104.sh RENQUANT_READONLY_TAG=alpaca_shadow_blend (strategy_config.shadow_blend.json),True,True,scheduled lane
runs.alpaca_shadow_blend_mom.db,runner,daily_104.sh RENQUANT_READONLY_TAG=alpaca_shadow_blend_mom (strategy_config.shadow_blend_momentum.json),True,True,scheduled lane
runs.alpaca_shadow_blend_mom_fast.db,runner,daily_104.sh RENQUANT_READONLY_TAG=alpaca_shadow_blend_mom_fast (strategy_config.shadow_blend_momentum_fast.json),True,True,scheduled lane
runs.alpaca_shadow_blend_rb_fast.db,runner,daily_104.sh RENQUANT_READONLY_TAG=alpaca_shadow_blend_rb_fast (strategy_config.shadow_blend_rb_fast.json),True,True,scheduled lane
runs.alpaca_shadow_blend_rb_mom.db,runner,daily_104.sh RENQUANT_READONLY_TAG=alpaca_shadow_blend_rb_mom (strategy_config.shadow_blend_rb_mom.json),True,True,scheduled lane
runs.alpaca_shadow.db,pinned-config (no runner step),strategy_config.shadow.json -> tag alpaca_shadow [the shared sink's own records (runs.alpaca_shadow.db)],True,True,
runs.alpaca_shadow_a.db,pinned-config (no runner step),strategy_config.shadow_a.json -> tag alpaca_shadow_a [2 broker stamps in admission_shadow.jsonl; no runs DB on disk],False,False,configured-but-recordless
runs.alpaca_shadow_b.db,pinned-config (no runner step),strategy_config.shadow_b.json -> tag alpaca_shadow_b [no record found on any surface],False,False,configured-but-recordless
runs.alpaca_shadow.db,pinned-config (no runner step),strategy_config.shadow_momentum.json -> tag alpaca_shadow [momentum_residual/_v0 active_scorer stamps 2026-08-03 in the shared sink],True,True,
admission_shadow.jsonl,pipeline module registry,src/renquant_pipeline/kernel/pipeline/task_admission_shadow.py:DEFAULT_LOG_RELPATH (verified in --pipeline-src),True,True,metadata sink (no per-ticker scores)
parking_sleeve_shadow.jsonl,pipeline module registry,src/renquant_pipeline/kernel/pipeline/task_parking_sleeve.py:DEFAULT_LOG_PATH (verified in --pipeline-src),True,True,metadata sink (no per-ticker scores)
shadow_scorer_health.jsonl,pipeline module registry,src/renquant_pipeline/kernel/panel_pipeline/shadow_health.py:DEFAULT_SHADOW_HEALTH_RELPATH (verified in --pipeline-src),True,True,metadata sink (no per-ticker scores)
qp-live-shadow.jsonl,ESCAPE register (config-external),QP allocator shadow ledger (hybrid_option_f_allocator incumbent-vs-candidate) dropped under backtesting/renquant_104/artifacts/live-shadow/; not named in the pinned configs,True,True,file drop; dir scans assert nothing unregistered
shadow_analyst/,ESCAPE register (config-external),"trained model artifacts (panel-ltr shadow analyst rev3 + baseline-noan boosters + preflight .baks) under data/; artifacts, not a recording sink",True,True,file drop; dir scans assert nothing unregistered
shadow_predictions.json,ESCAPE register (config-external),one-shot manual snapshot of the prod panel-ltr artifact's top-30 (scoring_date 2026-05-05) under data/; no producer in the pinned configs,True,True,file drop; dir scans assert nothing unregistered
mlruns:renquant_104_patchtst_shadow_after_xgb_promotion,mlruns scan,"experiment id 107781742428488320, name contains 'shadow'",True,True,aggregate-metric sink (no per-ticker scores)
mlruns:renquant_104_shadow,mlruns scan,"experiment id 444804097530090886, name contains 'shadow'",True,True,aggregate-metric sink (no per-ticker scores)
mlruns:renquant_104_xgb_shadow_after_patchtst_promotion,mlruns scan,"experiment id 742139662506147478, name contains 'shadow'",True,True,aggregate-metric sink (no per-ticker scores)
